name,price,No_of_rating,rating,description,category
"Boldfit Nylon Wrist Supporter for Gym Wrist Band for Men Gym&Women with Thumb Loop Straps-Wrist Wrap Gym Accessories for Men Hand Grip&Wrist Support Sports Straps for Gym,Weightlifting-Grey,One Size",₹199.00,"4,726",N/A,"Boldfit Nylon Wrist Supporter for Gym Wrist Band for Men Gym&Women with Thumb Loop Straps-Wrist Wrap Gym Accessories for Men Hand Grip&Wrist Support Sports Straps for Gym,Weightlifting-Grey,One Size",Sports
"Fitness Mantra® Adjustable Length Skipping Rope/Jumping Rope for Men and Women (Color- Black, Qty- 1 Pcs.)",₹39.00,240,N/A,"Fitness Mantra® Adjustable Length Skipping Rope/Jumping Rope for Men and Women (Color- Black, Qty- 1 Pcs.)",Sports
"Eveready CITYLITE Multipurpose Emergency Rechargeable Lantern | HL50 | 2W Torch & 3W Lantern | Micro USB Fast Charging | Overcharge Protection | Powered by 3.7V Li-Ion Battery | Red, Blue & Green",₹329.00,"3,410",N/A,"Eveready CITYLITE Multipurpose Emergency Rechargeable Lantern | HL50 | 2W Torch & 3W Lantern | Micro USB Fast Charging | Overcharge Protection | Powered by 3.7V Li-Ion Battery | Red, Blue & Green",Sports
Fitness Mantra® Weight Adjustable Hight Quality Hand Gripper for Men & Women |Hand Grip|Finger Exerciser|Power Gripper|Hand Exerciser Equipment|Hand Strengtheners| Color Black| 10KG-40KG|,₹99.00,"2,475",N/A,Fitness Mantra® Weight Adjustable Hight Quality Hand Gripper for Men & Women |Hand Grip|Finger Exerciser|Power Gripper|Hand Exerciser Equipment|Hand Strengtheners| Color Black| 10KG-40KG|,Sports
"Yonex Mavis 200i Nylon Shuttle Cock, Pack of 6 (Yellow)",₹499.00,"30,400",N/A,"Yonex Mavis 200i Nylon Shuttle Cock, Pack of 6 (Yellow)",Sports
"Boldfit Gym Gloves for Men Workout Wrist Support Gym Gloves Weightlifting Gym Gloves for Women Breathable Gym Accessories for Men Workout Hand Gloves for Gym Women Gloves for Gym Workout, Large",₹349.00,"4,054",N/A,"Boldfit Gym Gloves for Men Workout Wrist Support Gym Gloves Weightlifting Gym Gloves for Women Breathable Gym Accessories for Men Workout Hand Gloves for Gym Women Gloves for Gym Workout, Large",Sports
"Amazon Brand - Symactive Pvc 20 Kg Adjustable Dumbbells Fitness Kit For Full Body Workout (2 Kg X 4 + 3 Kg X 4 Kg Pvc Weight, One Pair 14'' Dumbbell Rods&Nuts),Black",₹429.00,224,N/A,"Amazon Brand - Symactive Pvc 20 Kg Adjustable Dumbbells Fitness Kit For Full Body Workout (2 Kg X 4 + 3 Kg X 4 Kg Pvc Weight, One Pair 14'' Dumbbell Rods&Nuts),Black",Sports
"Boldfit Resistance Bands Mini Loop Set (Pack of 5) Hip Band Toning Exercise Band for Gym Booty Belt Latex Band Thera Band Theraband for Fitness, Multicolor",₹659.00,"4,986",N/A,"Boldfit Resistance Bands Mini Loop Set (Pack of 5) Hip Band Toning Exercise Band for Gym Booty Belt Latex Band Thera Band Theraband for Fitness, Multicolor",Sports
Hundred Cosmogear Badminton Kit-Bag (Navy)|Double Zipper|Bag with Front Zipper Pocket,₹599.00,"1,333",N/A,Hundred Cosmogear Badminton Kit-Bag (Navy)|Double Zipper|Bag with Front Zipper Pocket,Sports
SELLORIA Brand Soft Cotton Adjustable Unisex Cap for Men and Women Freesize Baseball Caps (Pack of 2),₹189.00,"1,027",N/A,SELLORIA Brand Soft Cotton Adjustable Unisex Cap for Men and Women Freesize Baseball Caps (Pack of 2),Sports
"Boldfit Adjustable Hand Grip Strengthener, Hand Gripper With Counter for Men & Women for Gym Workout Hand Exercise Equipment to Use in Home for Forearm Exercise, Finger Exercise Power Gripper - 60kg",₹279.00,"4,422",N/A,"Boldfit Adjustable Hand Grip Strengthener, Hand Gripper With Counter for Men & Women for Gym Workout Hand Exercise Equipment to Use in Home for Forearm Exercise, Finger Exercise Power Gripper - 60kg",Sports
Techista 2-in-1 Rechargeable - Cycle Light (3 Modes) Cycle Light and Horn/Cycle Lights Rechargeable Waterproof (140 dB) Cycle Light with Horn Cycle LED Front Light | Cycle Bell,₹249.00,"7,750",N/A,Techista 2-in-1 Rechargeable - Cycle Light (3 Modes) Cycle Light and Horn/Cycle Lights Rechargeable Waterproof (140 dB) Cycle Light with Horn Cycle LED Front Light | Cycle Bell,Sports
"Bodyband Abs Roller for Men & Women Stomach Abs Roller Wheel for Home Workout, Gym Ab Roller for Men Abs Workout Equipment for Abdominal Ab Roller Home Exercise Equipment With Knee Mat -Yellow Black",₹199.00,590,N/A,"Bodyband Abs Roller for Men & Women Stomach Abs Roller Wheel for Home Workout, Gym Ab Roller for Men Abs Workout Equipment for Abdominal Ab Roller Home Exercise Equipment With Knee Mat -Yellow Black",Sports
Lifelong LLYM92 Yoga mat for Women & Men EVA Material 4mm Grey Anti Slip for Gym Workout,₹299.00,"5,100",N/A,Lifelong LLYM92 Yoga mat for Women & Men EVA Material 4mm Grey Anti Slip for Gym Workout,Sports
"JK Copier Paper 75GSM A4, 1 Ream (500Sheets)",₹375.00,"16,784",,"JK Copier Paper 75GSM A4, 1 Ream (500Sheets)",Office
